feature,importance_mean,importance_std
worst concave points,0.01069223985890655,0.0012471019068545418
worst area,0.010637125220458565,0.001031100470341133
worst perimeter,0.005456349206349187,0.000843091850792404
worst radius,0.003858024691358023,0.0017094425065333901
worst concavity,0.00270061728395062,0.0003397494490172764
mean texture,0.0019290123456789932,0.000813757884713039
mean concave points,0.0019290123456789932,0.0016106304228618662
worst texture,0.0011022927689593824,0.0012100142416280998
area error,0.0009369488536155416,0.0014931897248836158
mean concavity,0.0007716049382716269,0.00020622009406823458
worst smoothness,0.0006613756613756591,0.00013500274155549467
mean radius,0.0004960317460317812,0.00048675930700661194
mean perimeter,0.0002755731922398456,0.00020622009406822466
fractal dimension error,0.0002755731922398086,7.794386917842849e-05
smoothness error,0.00022045855379193569,0.0002062200940682741
mean area,0.0002204585537918987,0.0004741140469049638
perimeter error,0.0002204585537918987,0.00015588773835683082
mean fractal dimension,0.00016534391534395176,0.00013500274155554
concavity error,0.00016534391534391477,5.2336416069332526e-17
worst compactness,0.00011022927689600485,0.00038971934589203784
mean compactness,0.00011022927689596784,7.794386917842849e-05
worst symmetry,5.511463844805794e-05,0.0002062200940682247
mean smoothness,5.511463844798392e-05,7.794386917842849e-05
concave points error,0.0,0.0
mean symmetry,0.0,0.0
symmetry error,0.0,0.0
worst fractal dimension,0.0,0.0
compactness error,-0.00016534391534391477,0.0006186602822046838
texture error,-0.0002204585537918987,0.00031177547671366163
radius error,-0.0004960317460317443,0.00023383160753520698
